epsilon,k0,n,log_prob
0.07983687199823156,0.02546527970071352,0.4425557095338263,-2.6560297354445472
0.08763981178761907,0.030036332339373216,0.29501990312723136,-3.761055131510796
0.06118671181688951,0.03146800238671231,0.8660891438559803,-1.4836750826908596
0.06228270579178968,0.03619590624842838,0.5547597135870239,-1.726222540123224
0.06254840023985231,0.01837667425743405,0.7905720253660209,-1.484414804073497
0.0678489912113586,0.023012074801877964,0.25074683890720384,-1.9536886942375815
0.10594578268181243,0.021638644633160727,0.7373439097806515,-4.3719633705746
0.06481992344425026,0.018273274555007706,0.04101001102689869,-1.7971698051292455
0.07297851461694446,0.03341668396888073,0.3763137707263368,-2.5557974867709774
0.06004289395078212,0.021467792528338737,0.33073446220152314,-1.491852043762245
0.060842754174526566,0.027222373026274675,0.4498690480206583,-1.5315812720329487
0.07810631618376415,0.021481540040679925,0.7363334535408113,-2.287650968011429
0.07809155533145257,0.025252024955089776,0.9408951213932021,-2.254978703046044
0.06650639467729909,0.025884531496389016,0.7672651215968285,-1.6991014844478067
0.061732175575708356,0.029958502467719684,0.21968271485676139,-1.7667002261159896
0.08948521936616709,0.03500936257347117,0.9164954277325998,-3.376652579841736
0.0826869172259726,0.02406001957555887,0.8185118112485598,-2.553520283144645
0.09098765089199332,0.0229015611152542,0.3152908318437836,-3.551390405261422
0.07182365493369204,0.034012814135910535,0.17648295044614482,-2.7343886114797162
0.06304792279122408,0.024630706140017347,0.5370459705818886,-1.5897019293728596
0.07609907466584205,0.016032974936677956,0.006086494313233992,-2.444500390212496
0.07009687189001396,0.015365620965631526,0.9458663498190998,-1.755910001802902
0.06117069217222662,0.019444218003181808,0.4331891335466613,-1.505123603539877
0.07503799388475778,0.015929052413734428,0.9621052369718825,-1.9795285143925547
0.06220250450934843,0.015429796487429795,0.852248540453684,-1.4554504699264876
0.07297860693415995,0.03484657543282767,0.8589035718509286,-2.169337722993885
0.07509111124725329,0.025811224909023277,0.008129290908053033,-2.756943487943103
0.07836983458315555,0.01989291233663486,0.9859015167106066,-2.193232146329588
0.07568102772591723,0.02238775347667118,0.39231254935611726,-2.3221422684744923
0.07614328586918423,0.037014215387944444,0.044759843752990025,-3.6529697407468475
0.07752743694875619,0.036474418163912704,0.3019482161491399,-3.249009681405452
0.07015189826321369,0.01917906936991947,0.7525590237448334,-1.8366197133307882
0.07945657820536449,0.027278150352053037,0.4194019269769449,-2.7157542137776853
0.08763981178761907,0.030036332339373216,0.29501990312723136,-3.761055131510796
0.06118671181688951,0.03146800238671231,0.8660891438559803,-1.4836750826908596
0.06291061448486307,0.03890458166341611,0.376395178605644,-2.0277627785438974
0.06254840023985231,0.01837667425743405,0.7905720253660209,-1.484414804073497
0.0678489912113586,0.023012074801877964,0.25074683890720384,-1.9536886942375815
0.1136377752355463,0.02273043326216865,0.7171386210951116,-5.240211839715809
0.06453875907438322,0.01782263883360079,0.01386667125290525,-1.7874094842504207
0.07083283481317207,0.029835200579729982,0.47108016507086187,-2.1492261434011626
0.06004289395078212,0.021467792528338737,0.33073446220152314,-1.491852043762245
0.061181028764917,0.025468037711007897,0.517439432316239,-1.510840374222712
0.07928287087852379,0.022379943604848927,0.7055539258006444,-2.37730174090197
0.07947301553913028,0.02946982630213488,0.9312994636068138,-2.4248609849286136
0.06650639467729909,0.025884531496389016,0.7672651215968285,-1.6991014844478067
0.06128672874843697,0.02657690791641626,0.16044581319938644,-1.6862285190180224
0.08948521936616709,0.03500936257347117,0.9164954277325998,-3.376652579841736
0.0826869172259726,0.02406001957555887,0.8185118112485598,-2.553520283144645
0.09098765089199332,0.0229015611152542,0.3152908318437836,-3.551390405261422
0.06958618349798945,0.029691192568449244,0.3336373590340064,-2.176201505002125
0.06304792279122408,0.024630706140017347,0.5370459705818886,-1.5897019293728596
0.07609907466584205,0.016032974936677956,0.006086494313233992,-2.444500390212496
0.07009687189001396,0.015365620965631526,0.9458663498190998,-1.755910001802902
0.06796624937433667,0.027418649466805885,0.25689413007613837,-2.052041205369803
0.07503799388475778,0.015929052413734428,0.9621052369718825,-1.9795285143925547
0.06220250450934843,0.015429796487429795,0.852248540453684,-1.4554504699264876
0.07083576867556472,0.03722740627513425,0.8678189245074839,-2.0777867502605956
0.07509111124725329,0.025811224909023277,0.008129290908053033,-2.756943487943103
0.07836983458315555,0.01989291233663486,0.9859015167106066,-2.193232146329588
0.07862557287412283,0.02609054881817941,0.10042166999630253,-2.9749595726822644
0.07597932272264442,0.03682485369914697,0.05705262950599821,-3.588707595459208
0.07752743694875619,0.036474418163912704,0.3019482161491399,-3.249009681405452
0.07219594702182654,0.01871628771643632,0.8378522875249944,-1.9133201183749415
0.07663314215321715,0.026974309583193915,0.495244055605963,-2.4235719108561504
0.08831148580770568,0.03045333700123029,0.2774467866966613,-3.917990168289251
0.06118671181688951,0.03146800238671231,0.8660891438559803,-1.4836750826908596
0.06287297792004122,0.03861886495215121,0.37139015140019627,-2.0231978971023
0.06230062921814992,0.018229810775547597,0.806028543149606,-1.4727333012975816
0.0678489912113586,0.023012074801877964,0.25074683890720384,-1.9536886942375815
0.1136377752355463,0.02273043326216865,0.7171386210951116,-5.240211839715809
0.06453875907438322,0.01782263883360079,0.01386667125290525,-1.7874094842504207
0.07083283481317207,0.029835200579729982,0.47108016507086187,-2.1492261434011626
0.06053886744141927,0.025804006481212883,0.5628708346580213,-1.470777255294426
0.06110479056697658,0.024668243203999404,0.7749281214469856,-1.445515062637998
